,year,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CAMS-CSM1-0,CESM2-WACCM,CanESM5,EC-Earth3,EC-Earth3-Veg,FGOALS-g3,FIO-ESM-2-0,GFDL-CM4,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MPI-ESM1-2-LR,MRI-ESM2-0
tas,2077,4.302454724061619,4.012277027698981,3.402743545299747,2.6833746400554332,4.739505192241505,5.865515221691903,4.130173222155544,4.542440317106933,3.153056373471955,4.508660774808462,3.7215217955723716,3.213533338550325,4.7730231285095215,4.788141821149949,2.7723851110107773,3.2527643870713994,3.6560708859313706
tas,2078,4.336974807335807,3.8848960844563103,3.469213822275568,2.527135096654282,4.561399920100182,5.946281252053382,4.328210522561591,4.398196662499899,3.1739663910446865,4.5351734293216355,3.798840417529471,3.224972778360661,4.969167232513428,4.940401093847531,2.8704315350692156,3.3885170544616208,3.748822890030534
tas,2079,4.506995134612936,3.807137821412899,3.5141735101382303,2.456275726733665,4.746932893457715,5.836232875994554,4.528909405307999,4.557818231609943,3.177984538200557,4.61852258514385,4.145918397191916,3.416550805828502,5.023963928222656,5.09351076914929,3.167333636336243,3.343633438325014,3.7547396206713635
tas,2080,4.673734907569023,4.012695572643072,3.6076912406027284,2.5195961076629154,4.92373123524644,6.089885851348758,4.235741374310209,4.958359899261576,3.224910397894353,4.766629482557728,4.199355809790916,3.4410399442913806,5.374605655670166,5.143174841797006,3.4931585246695533,3.354424961393093,3.8566934090978626
tas,2081,4.701155867995851,4.347294613773816,3.737506253364051,2.87867365502152,5.057271979188722,6.3862335656642175,4.381923051398265,4.793033704151497,3.3225942934039097,4.776561688414238,4.369839772631319,3.3568338942442844,5.5598297119140625,5.14697617033616,3.572983353725794,3.4137222640218474,3.944928549305468
tas,2082,4.853397597737815,4.449060116129336,3.715665479245492,2.878305422646799,4.8899496279665255,6.249260649398181,4.837499829989194,4.963767038175997,3.3902031413805624,4.866593217777658,4.431364693448079,3.3707955178310036,5.189966678619385,5.258481360346688,3.28022660079805,3.4330931974649466,4.090913009098538
tas,2083,4.751804738121436,4.298794573844636,3.662529082475814,2.9083457033531537,5.038255278244937,6.260269830006787,4.831171499035942,5.0312560042805545,3.453849040312226,5.048534217788448,4.31061735183772,3.4703579641500113,5.341153621673584,5.405055050073571,3.185758961902877,3.705833448623139,4.033507423990012
tas,2084,5.059958853807056,4.347272135700119,3.656654541448622,3.1479996372681427,5.265175247350896,6.436104231816533,4.479859457809549,5.362540797343764,3.5335520100801667,4.878753559755826,4.195469772483662,3.4697347633367506,5.5252251625061035,5.345931510535034,3.2849073601752017,3.706402874399918,4.223287969693014
tas,2085,5.126742911731441,4.233476743936701,3.7583582682632843,3.1304127196480587,5.370750981673083,6.562627203747837,4.718748530895989,5.284242779427212,3.4076363504765887,5.067160041474561,4.414192358013712,3.4439402329099855,5.35559606552124,5.504306376984398,3.5398315043165005,3.735018889164228,4.32618513608369
tas,2086,5.081062818394163,4.518219207546579,3.7667013297924306,3.0779236287783838,5.350558398455249,6.407190227986315,5.257392488680689,5.295249347702466,3.3701783928530964,5.242197361286846,4.435286785863497,3.513216714618958,5.607119083404541,5.559848893786419,3.6838907087075747,3.82619224622375,4.221049265285004
tas,2087,5.224528361441368,4.526443926001515,3.7080939457387814,3.143913116100279,5.487396502570538,6.523277876179232,5.095364850165898,5.345198820212947,3.5332288067186823,5.251121116866059,4.361514644533585,3.6343209880830565,5.878298282623291,5.490654542044297,3.4520423195155794,3.8342225849892437,4.272123054650881
