,year,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CAMS-CSM1-0,CESM2-WACCM,CanESM5,EC-Earth3,EC-Earth3-Veg,FGOALS-g3,FIO-ESM-2-0,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3
tas,2090,2.65413734618663,2.0067995918787602,1.4871542742769748,1.38465163063303,2.429746432312882,2.8194867732419673,2.048402332303354,2.537578594271499,1.4239817544140767,2.073867126200691,1.4348997307725189,2.2649993896484375,2.91175086790903,1.3679502378074726,1.4980255537513802,1.7790288182218603,1.8773234637693434
tas,2091,2.5162232316989352,1.9922450039793016,1.566428775414361,1.3968497902884518,2.560935791906483,2.811437327964512,2.2282029057909227,2.5576208588814304,1.5003169577868032,2.2562293091601333,1.4074221166229535,2.1840286254882812,2.941383731139709,1.4531797732848304,1.632708645681646,1.758539632353769,1.8939749078877999
tas,2092,2.5587089041609468,2.0904446194372923,1.4689537895543907,1.397320331996994,2.4829845341319676,2.654634810706232,1.9897934625011686,2.6723257691378755,1.3842278112940676,2.164722664790299,1.5093786459052154,2.1451594829559326,2.935260461550238,1.5298568692112866,1.3983995075273867,1.6687108705463582,1.9716109862748492
tas,2093,2.676675880606794,1.8782627282270379,1.5054465888168995,1.180283390023746,2.306029526529708,2.797022687633543,2.0409953806052386,2.295405974763336,1.3377075865020298,2.0850249299952046,1.3800513060626305,2.3436458110809326,2.8437579932866157,1.547700103783768,1.5065167718908394,1.658762215696034,1.862567055386639
tas,2094,2.536508912344208,1.86699898958616,1.5375778611246222,0.996484311933718,2.3738508190927803,2.780137399003204,2.1243273620925436,2.318154097299299,1.4705570194514006,2.0630213295928854,1.467608485104961,2.3401947021484375,2.9411810861478025,1.3507262143539691,1.5905178548151373,1.7475713206835906,1.986704664423551
tas,2095,2.593479212545437,2.1213541151382125,1.4173067064006755,1.0557886771954326,2.2818249654991405,2.6755143140168656,2.037635134595883,2.568833610390603,1.3676236855392478,2.0798401542847196,1.4392365321263867,2.225128173828125,2.7226816907577907,1.246556779468989,1.3968462813652138,1.6063312460426904,1.9998789442552578
tas,2096,2.6005596581541064,2.114761421437526,1.4370711978379518,1.230335781463765,2.5129738741401106,2.839652751455361,1.953962604245575,2.8248920611096366,1.3917945194581354,2.2849987444745445,1.4280503680113696,2.155034303665161,2.9337432375163957,1.2967734987397914,1.3532979106376881,1.7089782781082856,1.8616076447905527
tas,2097,2.3949244194759465,1.8787716525347993,1.4430267329254984,1.465950680820389,2.434693829531857,2.7868523934237097,1.947122182131982,2.760592920277977,1.3301687039507517,2.256905001025004,1.4106362964359676,2.1865615844726562,2.921587384919112,1.3829162644929813,1.4779095419246364,1.6311039970911356,1.8997950641415475
tas,2098,2.41946968163856,1.9270163891275967,1.47410078209694,1.2541082396334626,2.4524343887556577,2.6660964989134848,2.062355087440423,2.469071159901849,1.2487230089113126,2.171782161803994,1.434908644384625,2.4425785541534424,2.841051323104035,1.6179996579665687,1.569135438257779,1.5844263812883572,1.9356769923928756
tas,2099,2.4465472097331777,2.054556993705816,1.5790777522352784,1.1559265632919893,2.5623963629498356,2.8407306301644106,2.1146615013826087,2.5438005288794066,1.3203665648998992,2.1391844363184447,1.3875608740076426,2.4806594848632812,3.008546553664592,1.7964441003216176,1.5263127022807292,1.6436583067989357,2.022715101927176
